Seq_ID	subsample	rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
Yale-TB094	0.05	NC_000962.3	1	4411532	2	137	0.0031055	5.62E-05	39.9	60
Yale-TB094	0.25	NC_000962.3	1	4411532	18	1244	0.0281988	0.00050368	39.8	60
Yale-TB094	0.1	NC_000962.3	1	4411532	4	255	0.0057803	0.000109259	39.9	60
Yale-TB094	0.2	NC_000962.3	1	4411532	14	977	0.0221465	0.000387394	39.8	60
Yale-TB094	0.15	NC_000962.3	1	4411532	14	977	0.0221465	0.000387394	39.8	60
Yale-TB094	0.5	NC_000962.3	1	4411532	34	2252	0.051048	0.000908301	39.6	60
Yale-TB094	1	NC_000962.3	1	4411532	67	4406	0.0998746	0.00180187	39.6	60
Yale-TB053	0.05	NC_000962.3	1	4411532	1367650	4059061	92.0102	38.6664	39.6	60
Yale-TB053	0.25	NC_000962.3	1	4411532	6837178	4296549	97.3936	193.339	39.6	60
Yale-TB053	0.1	NC_000962.3	1	4411532	2734564	4225639	95.7862	77.3234	39.6	60
Yale-TB053	0.2	NC_000962.3	1	4411532	5466880	4287986	97.1995	154.609	39.6	60
Yale-TB053	0.15	NC_000962.3	1	4411532	4101815	4270774	96.8093	116.003	39.6	60
Yale-TB053	0.5	NC_000962.3	1	4411532	13676049	4308064	97.6546	386.675	39.6	60
Yale-TB053	1	NC_000962.3	1	4411532	27355172	4312385	97.7525	773.436	39.6	60
Yale-TB083	0.05	NC_000962.3	1	4411532	59	1877	0.0425476	0.00129978	39.8	60
Yale-TB083	0.25	NC_000962.3	1	4411532	222	4818	0.109214	0.00507307	39.7	60
Yale-TB083	0.1	NC_000962.3	1	4411532	101	2731	0.0619059	0.00225817	39.8	60
Yale-TB083	0.2	NC_000962.3	1	4411532	183	4616	0.104635	0.0041387	39.7	60
Yale-TB083	0.15	NC_000962.3	1	4411532	153	3862	0.0875433	0.00340698	39.7	60
Yale-TB083	0.5	NC_000962.3	1	4411532	419	7392	0.167561	0.00953909	39.7	60
Yale-TB083	1	NC_000962.3	1	4411532	907	12018	0.272422	0.0208395	39.7	60
Yale-TB060	0.05	NC_000962.3	1	4411532	3	114	0.00258414	7.66E-05	39.7	60
Yale-TB060	0.25	NC_000962.3	1	4411532	6	295	0.00668702	0.000141447	39.8	60
Yale-TB060	0.1	NC_000962.3	1	4411532	3	114	0.00258414	7.66E-05	39.7	60
Yale-TB060	0.2	NC_000962.3	1	4411532	5	220	0.00498693	0.000124447	39.7	60
Yale-TB060	0.15	NC_000962.3	1	4411532	5	220	0.00498693	0.000124447	39.7	60
Yale-TB060	0.5	NC_000962.3	1	4411532	10	610	0.0138274	0.000240506	39.6	60
Yale-TB060	1	NC_000962.3	1	4411532	26	1583	0.0358832	0.000658728	39.5	60
Yale-TB040	0.05	NC_000962.3	1	4411532	524845	4001865	90.7137	15.1421	39.6	60
Yale-TB040	0.25	NC_000962.3	1	4411532	2625652	4326975	98.0833	75.756	39.6	60
Yale-TB040	0.1	NC_000962.3	1	4411532	1048993	4243749	96.1967	30.2589	39.6	60
Yale-TB040	0.2	NC_000962.3	1	4411532	2100441	4318211	97.8846	60.5976	39.6	60
Yale-TB040	0.15	NC_000962.3	1	4411532	1573322	4300846	97.491	45.3835	39.6	60
Yale-TB040	0.5	NC_000962.3	1	4411532	5253803	4336972	98.3099	151.597	39.6	60
Yale-TB040	1	NC_000962.3	1	4411532	10507491	4340067	98.38	303.227	39.6	60
Yale-TB033	0.05	NC_000962.3	1	4411532	53329	1029566	23.3381	1.36693	39.7	60
Yale-TB033	0.25	NC_000962.3	1	4411532	267186	2047655	46.416	6.83766	39.7	60
Yale-TB033	0.1	NC_000962.3	1	4411532	107243	1439957	32.6407	2.74645	39.7	60
Yale-TB033	0.2	NC_000962.3	1	4411532	213632	1897778	43.0186	5.46904	39.7	60
Yale-TB033	0.15	NC_000962.3	1	4411532	160278	1700570	38.5483	4.10144	39.7	60
Yale-TB033	0.5	NC_000962.3	1	4411532	532939	2511671	56.9342	13.6363	39.7	60
Yale-TB033	1	NC_000962.3	1	4411532	1065069	2928409	66.3808	27.2566	39.7	60
Yale-TB089	0.05	NC_000962.3	1	4411532	2679612	4311800	97.7393	81.1096	39.6	60
Yale-TB089	0.25	NC_000962.3	1	4411532	13397365	4312658	97.7587	405.476	39.6	60
Yale-TB089	0.1	NC_000962.3	1	4411532	5363024	4312181	97.7479	162.339	39.6	60
Yale-TB089	0.2	NC_000962.3	1	4411532	10719659	4312512	97.7554	324.436	39.6	60
Yale-TB089	0.15	NC_000962.3	1	4411532	8041801	4312393	97.7527	243.405	39.6	60
Yale-TB089	0.5	NC_000962.3	1	4411532	26789514	4312939	97.7651	810.835	39.6	60
Yale-TB089	1	NC_000962.3	1	4411532	53572213	4313070	97.7681	1621.39	39.6	60
Yale-TB102	0.05	NC_000962.3	1	4411532	15323	1061558	24.0633	0.452104	39.6	60
Yale-TB102	0.25	NC_000962.3	1	4411532	76543	3187916	72.2632	2.25898	39.6	60
Yale-TB102	0.1	NC_000962.3	1	4411532	30902	1861124	42.1877	0.912707	39.6	60
Yale-TB102	0.2	NC_000962.3	1	4411532	61120	2859184	64.8116	1.80521	39.6	60
Yale-TB102	0.15	NC_000962.3	1	4411532	46075	2431226	55.1107	1.35999	39.6	60
Yale-TB102	0.5	NC_000962.3	1	4411532	152694	3962679	89.8255	4.50684	39.6	60
Yale-TB102	1	NC_000962.3	1	4411532	306608	4273684	96.8753	9.04669	39.6	60
Yale-TB103	0.05	NC_000962.3	1	4411532	5083	381076	8.63818	0.149596	39.6	60
Yale-TB103	0.25	NC_000962.3	1	4411532	24442	1517994	34.4097	0.721517	39.6	60
Yale-TB103	0.1	NC_000962.3	1	4411532	9932	707266	16.0322	0.293294	39.6	60
Yale-TB103	0.2	NC_000962.3	1	4411532	19742	1282380	29.0688	0.582853	39.6	60
Yale-TB103	0.15	NC_000962.3	1	4411532	14824	1011581	22.9304	0.438469	39.6	60
Yale-TB103	0.5	NC_000962.3	1	4411532	49267	2446104	55.4479	1.45597	39.6	60
Yale-TB103	1	NC_000962.3	1	4411532	99531	3417134	77.4591	2.94161	39.6	60
Yale-TB078	0.05	NC_000962.3	1	4411532	476898	3273020	74.1924	13.2101	39.7	60
Yale-TB078	0.25	NC_000962.3	1	4411532	2385850	4095418	92.8344	66.1045	39.7	60
Yale-TB078	0.1	NC_000962.3	1	4411532	955020	3741438	84.8104	26.4555	39.7	60
Yale-TB078	0.2	NC_000962.3	1	4411532	1909809	4035954	91.4864	52.915	39.7	60
Yale-TB078	0.15	NC_000962.3	1	4411532	1432280	3934067	89.1769	39.6805	39.7	60
Yale-TB078	0.5	NC_000962.3	1	4411532	4775213	4219435	95.6456	132.312	39.7	60
Yale-TB078	1	NC_000962.3	1	4411532	9556380	4270433	96.8016	264.79	39.7	60
Yale-TB107	0.05	NC_000962.3	1	4411532	0	0	0	0	0	0
Yale-TB107	0.25	NC_000962.3	1	4411532	0	0	0	0	0	0
Yale-TB107	0.1	NC_000962.3	1	4411532	0	0	0	0	0	0
Yale-TB107	0.2	NC_000962.3	1	4411532	0	0	0	0	0	0
Yale-TB107	0.15	NC_000962.3	1	4411532	0	0	0	0	0	0
Yale-TB107	0.5	NC_000962.3	1	4411532	3	227	0.0051456	7.96E-05	39.3	60
Yale-TB107	1	NC_000962.3	1	4411532	5	406	0.00920315	0.000147794	39.5	60
Yale-TB066	0.05	NC_000962.3	1	4411532	440188	3145182	71.2946	12.2293	39.7	60
Yale-TB066	0.25	NC_000962.3	1	4411532	2194581	4047695	91.7526	60.9338	39.7	60
Yale-TB066	0.1	NC_000962.3	1	4411532	879521	3638563	82.4784	24.4289	39.7	60
Yale-TB066	0.2	NC_000962.3	1	4411532	1756381	3972309	90.0438	48.7668	39.7	60
Yale-TB066	0.15	NC_000962.3	1	4411532	1317519	3855436	87.3945	36.5886	39.7	60
Yale-TB066	0.5	NC_000962.3	1	4411532	4390204	4193810	95.0647	121.936	39.7	60
Yale-TB066	1	NC_000962.3	1	4411532	8785428	4257395	96.506	244.036	39.7	60
Yale-TB087	0.05	NC_000962.3	1	4411532	0	0	0	0	0	0
Yale-TB087	0.25	NC_000962.3	1	4411532	1	74	0.00167742	1.68E-05	38.3	60
Yale-TB087	0.1	NC_000962.3	1	4411532	0	0	0	0	0	0
Yale-TB087	0.2	NC_000962.3	1	4411532	1	74	0.00167742	1.68E-05	38.3	60
Yale-TB087	0.15	NC_000962.3	1	4411532	0	0	0	0	0	0
Yale-TB087	0.5	NC_000962.3	1	4411532	6	270	0.00612032	0.000109939	39.7	60
Yale-TB087	1	NC_000962.3	1	4411532	10	272	0.00616566	0.000211264	39	60
Yale-TB054	0.05	NC_000962.3	1	4411532	888147	3685955	83.5527	24.8231	39.6	60
Yale-TB054	0.25	NC_000962.3	1	4411532	4439885	4217118	95.5931	124.142	39.6	60
Yale-TB054	0.1	NC_000962.3	1	4411532	1775578	4013783	90.9839	49.6311	39.6	60
Yale-TB054	0.2	NC_000962.3	1	4411532	3552969	4186249	94.8933	99.338	39.6	60
Yale-TB054	0.15	NC_000962.3	1	4411532	2666662	4131312	93.648	74.5539	39.6	60
Yale-TB054	0.5	NC_000962.3	1	4411532	8875518	4272844	96.8562	248.167	39.6	60
Yale-TB054	1	NC_000962.3	1	4411532	17751359	4294138	97.3389	496.382	39.6	60
Yale-TB042	0.05	NC_000962.3	1	4411532	13	551	0.01249	0.00032347	39.8	60
Yale-TB042	0.25	NC_000962.3	1	4411532	62	2236	0.0506853	0.00156068	39.7	60
Yale-TB042	0.1	NC_000962.3	1	4411532	24	1011	0.0229172	0.000592538	39.6	60
Yale-TB042	0.2	NC_000962.3	1	4411532	52	2140	0.0485092	0.00130114	39.7	60
Yale-TB042	0.15	NC_000962.3	1	4411532	40	1558	0.0353165	0.000977212	39.6	60
Yale-TB042	0.5	NC_000962.3	1	4411532	124	3536	0.0801536	0.00311887	39.7	60
Yale-TB042	1	NC_000962.3	1	4411532	257	5873	0.133128	0.0063699	39.7	60
Yale-TB030	0.05	NC_000962.3	1	4411532	971062	3797893	86.0901	26.9383	39.7	60
Yale-TB030	0.25	NC_000962.3	1	4411532	4850230	4269942	96.7905	134.547	39.7	60
Yale-TB030	0.1	NC_000962.3	1	4411532	1939032	4096595	92.8611	53.7971	39.7	60
Yale-TB030	0.2	NC_000962.3	1	4411532	3880609	4247793	96.2884	107.651	39.7	60
Yale-TB030	0.15	NC_000962.3	1	4411532	2911683	4199561	95.1951	80.7703	39.7	60
Yale-TB030	0.5	NC_000962.3	1	4411532	9698246	4306080	97.6096	269.022	39.7	60
Yale-TB030	1	NC_000962.3	1	4411532	19385945	4319203	97.9071	537.766	39.7	60
Yale-TB061	0.05	NC_000962.3	1	4411532	0	0	0	0	0	0
Yale-TB061	0.25	NC_000962.3	1	4411532	10	276	0.00625633	0.00019585	39.8	60
Yale-TB061	0.1	NC_000962.3	1	4411532	0	0	0	0	0	0
Yale-TB061	0.2	NC_000962.3	1	4411532	4	177	0.00401221	7.75E-05	39.9	60
Yale-TB061	0.15	NC_000962.3	1	4411532	2	98	0.00222145	4.17E-05	39.7	60
Yale-TB061	0.5	NC_000962.3	1	4411532	29	632	0.0143261	0.000652381	39.8	60
Yale-TB061	1	NC_000962.3	1	4411532	60	1320	0.0299216	0.00140019	39.8	60
Yale-TB096	0.05	NC_000962.3	1	4411532	0	0	0	0	0	0
Yale-TB096	0.25	NC_000962.3	1	4411532	0	0	0	0	0	0
Yale-TB096	0.1	NC_000962.3	1	4411532	0	0	0	0	0	0
Yale-TB096	0.2	NC_000962.3	1	4411532	0	0	0	0	0	0
Yale-TB096	0.15	NC_000962.3	1	4411532	0	0	0	0	0	0
Yale-TB096	0.5	NC_000962.3	1	4411532	0	0	0	0	0	0
Yale-TB096	1	NC_000962.3	1	4411532	0	0	0	0	0	0
Yale-TB058	0.05	NC_000962.3	1	4411532	102	4664	0.105723	0.00232731	39.8	60
Yale-TB058	0.25	NC_000962.3	1	4411532	579	21498	0.487314	0.0132874	39.7	60
Yale-TB058	0.1	NC_000962.3	1	4411532	201	8794	0.199341	0.00456055	39.7	60
Yale-TB058	0.2	NC_000962.3	1	4411532	446	17405	0.394534	0.0101999	39.7	60
Yale-TB058	0.15	NC_000962.3	1	4411532	338	13775	0.31225	0.00770503	39.7	60
Yale-TB058	0.5	NC_000962.3	1	4411532	1217	38467	0.871965	0.0279914	39.7	60
Yale-TB058	1	NC_000962.3	1	4411532	2366	61825	1.40144	0.0548238	39.7	60
Yale-TB109	0.05	NC_000962.3	1	4411532	0	0	0	0	0	0
Yale-TB109	0.25	NC_000962.3	1	4411532	0	0	0	0	0	0
Yale-TB109	0.1	NC_000962.3	1	4411532	0	0	0	0	0	0
Yale-TB109	0.2	NC_000962.3	1	4411532	0	0	0	0	0	0
Yale-TB109	0.15	NC_000962.3	1	4411532	0	0	0	0	0	0
Yale-TB109	0.5	NC_000962.3	1	4411532	0	0	0	0	0	0
Yale-TB109	1	NC_000962.3	1	4411532	0	0	0	0	0	0
Yale-TB032	0.05	NC_000962.3	1	4411532	294575	2693576	61.0576	7.80475	39.6	60
Yale-TB032	0.25	NC_000962.3	1	4411532	1472081	3759552	85.221	39.0254	39.6	60
Yale-TB032	0.1	NC_000962.3	1	4411532	589157	3236686	73.3688	15.6213	39.6	60
Yale-TB032	0.2	NC_000962.3	1	4411532	1177294	3652393	82.7919	31.2115	39.6	60
Yale-TB032	0.15	NC_000962.3	1	4411532	883210	3498549	79.3046	23.413	39.6	60
Yale-TB032	0.5	NC_000962.3	1	4411532	2948250	4008862	90.8723	78.1706	39.6	60
Yale-TB032	1	NC_000962.3	1	4411532	5892107	4153272	94.1458	156.238	39.6	60
Yale-TB038	0.05	NC_000962.3	1	4411532	34	1000	0.0226679	0.000862059	39.5	60
Yale-TB038	0.25	NC_000962.3	1	4411532	124	2877	0.0652154	0.0031293	39.6	60
Yale-TB038	0.1	NC_000962.3	1	4411532	52	1199	0.0271788	0.00130567	39.5	60
Yale-TB038	0.2	NC_000962.3	1	4411532	104	2126	0.0481919	0.00256691	39.6	60
Yale-TB038	0.15	NC_000962.3	1	4411532	86	1927	0.043681	0.00214257	39.6	60
Yale-TB038	0.5	NC_000962.3	1	4411532	217	3677	0.0833497	0.00540425	39.7	60
Yale-TB038	1	NC_000962.3	1	4411532	405	5451	0.123563	0.0102688	39.7	60
Yale-TB079	0.05	NC_000962.3	1	4411532	541546	3241317	73.4737	14.6861	39.7	60
Yale-TB079	0.25	NC_000962.3	1	4411532	2700746	4030409	91.3608	73.2284	39.7	60
Yale-TB079	0.1	NC_000962.3	1	4411532	1081529	3685008	83.5313	29.314	39.7	60
Yale-TB079	0.2	NC_000962.3	1	4411532	2161913	3964910	89.876	58.6181	39.7	60
Yale-TB079	0.15	NC_000962.3	1	4411532	1621276	3863644	87.5806	43.9533	39.7	60
Yale-TB079	0.5	NC_000962.3	1	4411532	5402272	4162592	94.3571	146.485	39.7	60
Yale-TB079	1	NC_000962.3	1	4411532	10808524	4230749	95.902	293.084	39.7	60
Yale-TB082	0.05	NC_000962.3	1	4411532	324	14877	0.33723	0.0075484	39.6	60
Yale-TB082	0.25	NC_000962.3	1	4411532	1435	47247	1.07099	0.0347181	39.7	60
Yale-TB082	0.1	NC_000962.3	1	4411532	591	24560	0.556723	0.0140294	39.6	60
Yale-TB082	0.2	NC_000962.3	1	4411532	1151	41140	0.932556	0.027862	39.7	60
Yale-TB082	0.15	NC_000962.3	1	4411532	881	33850	0.767307	0.0212747	39.7	60
Yale-TB082	0.5	NC_000962.3	1	4411532	2910	79002	1.79081	0.0706725	39.7	60
Yale-TB082	1	NC_000962.3	1	4411532	5907	118594	2.68827	0.143308	39.7	60
Yale-TB095	0.05	NC_000962.3	1	4411532	0	0	0	0	0	0
Yale-TB095	0.25	NC_000962.3	1	4411532	1	146	0.00330951	3.31E-05	39.7	60
Yale-TB095	0.1	NC_000962.3	1	4411532	0	0	0	0	0	0
Yale-TB095	0.2	NC_000962.3	1	4411532	1	146	0.00330951	3.31E-05	39.7	60
Yale-TB095	0.15	NC_000962.3	1	4411532	0	0	0	0	0	0
Yale-TB095	0.5	NC_000962.3	1	4411532	1	146	0.00330951	3.31E-05	39.7	60
Yale-TB095	1	NC_000962.3	1	4411532	3	241	0.00546295	7.55E-05	39.5	60
Yale-TB104	0.05	NC_000962.3	1	4411532	338	27413	0.621394	0.0101609	39.6	60
Yale-TB104	0.25	NC_000962.3	1	4411532	1756	134711	3.05361	0.0520289	39.6	60
Yale-TB104	0.1	NC_000962.3	1	4411532	694	54656	1.23893	0.0208173	39.6	60
Yale-TB104	0.2	NC_000962.3	1	4411532	1426	110145	2.49675	0.0421178	39.6	60
Yale-TB104	0.15	NC_000962.3	1	4411532	1024	80511	1.82501	0.030532	39.6	60
Yale-TB104	0.5	NC_000962.3	1	4411532	3482	254280	5.76398	0.10297	39.6	60
Yale-TB104	1	NC_000962.3	1	4411532	6962	461883	10.4699	0.205945	39.6	60
Yale-TB092	0.05	NC_000962.3	1	4411532	1455	113989	2.58389	0.0408482	39.6	60
Yale-TB092	0.25	NC_000962.3	1	4411532	7379	530362	12.0222	0.20728	39.6	60
Yale-TB092	0.1	NC_000962.3	1	4411532	2848	218964	4.96345	0.0799944	39.6	60
Yale-TB092	0.2	NC_000962.3	1	4411532	5869	430021	9.74766	0.164826	39.6	60
Yale-TB092	0.15	NC_000962.3	1	4411532	4409	330949	7.50191	0.123872	39.6	60
Yale-TB092	0.5	NC_000962.3	1	4411532	14667	949338	21.5195	0.412476	39.6	60
Yale-TB092	1	NC_000962.3	1	4411532	29333	1588142	35.9998	0.825725	39.6	60
Yale-TB039	0.05	NC_000962.3	1	4411532	1188434	4311793	97.7391	35.0239	39.6	60
Yale-TB039	0.25	NC_000962.3	1	4411532	5934943	4341145	98.4045	174.921	39.6	60
Yale-TB039	0.1	NC_000962.3	1	4411532	2375488	4338338	98.3408	70.0089	39.6	60
Yale-TB039	0.2	NC_000962.3	1	4411532	4746011	4340885	98.3986	139.89	39.6	60
Yale-TB039	0.15	NC_000962.3	1	4411532	3561654	4340426	98.3882	104.976	39.6	60
Yale-TB039	0.5	NC_000962.3	1	4411532	11865242	4341853	98.4205	349.703	39.6	60
Yale-TB039	1	NC_000962.3	1	4411532	23738221	4342192	98.4282	699.625	39.6	60
Yale-TB067	0.05	NC_000962.3	1	4411532	577126	3233445	73.2953	15.9721	39.7	60
Yale-TB067	0.25	NC_000962.3	1	4411532	2895042	4001302	90.701	80.1062	39.7	60
Yale-TB067	0.1	NC_000962.3	1	4411532	1157847	3655450	82.8612	32.0361	39.7	60
Yale-TB067	0.2	NC_000962.3	1	4411532	2315530	3937916	89.2641	64.0659	39.7	60
Yale-TB067	0.15	NC_000962.3	1	4411532	1736586	3836511	86.9655	48.0532	39.7	60
Yale-TB067	0.5	NC_000962.3	1	4411532	5796328	4145827	93.977	160.393	39.7	60
Yale-TB067	1	NC_000962.3	1	4411532	11591020	4214441	95.5324	320.782	39.7	60
Yale-TB056	0.05	NC_000962.3	1	4411532	244099	2554417	57.9032	6.47414	39.7	60
Yale-TB056	0.25	NC_000962.3	1	4411532	1224086	3639074	82.49	32.4884	39.7	60
Yale-TB056	0.1	NC_000962.3	1	4411532	489302	3094465	70.1449	12.9836	39.7	60
Yale-TB056	0.2	NC_000962.3	1	4411532	979145	3530563	80.0303	25.9846	39.7	60
Yale-TB056	0.15	NC_000962.3	1	4411532	734651	3361459	76.1971	19.4957	39.7	60
Yale-TB056	0.5	NC_000962.3	1	4411532	2447982	3911531	88.666	64.9555	39.7	60
Yale-TB056	1	NC_000962.3	1	4411532	4896304	4071827	92.2996	129.925	39.7	60
Yale-TB029	0.05	NC_000962.3	1	4411532	1835874	4276059	96.9291	52.3305	39.6	60
Yale-TB029	0.25	NC_000962.3	1	4411532	9179778	4323163	97.9969	261.624	39.6	60
Yale-TB029	0.1	NC_000962.3	1	4411532	3671314	4311437	97.7311	104.648	39.6	60
Yale-TB029	0.2	NC_000962.3	1	4411532	7341874	4321573	97.9608	209.246	39.6	60
Yale-TB029	0.15	NC_000962.3	1	4411532	5507621	4318838	97.8988	156.99	39.6	60
Yale-TB029	0.5	NC_000962.3	1	4411532	18358772	4326049	98.0623	523.19	39.6	60
