"Seq_ID	subsample	rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq"
"CS00036	0.5	NC_017592.1	1	2036867	26490873	1986067	97.506	1627.45	35.6	44.3"
"CS00036	1.0	NC_017592.1	1	2036867	52991041	1993106	97.8516	3206.05	35.6	44.3"
"CS00037	0.025	NC_017592.1	1	2036867	2558730	1458861	71.6228	166.374	35.5	56.7"
"CS00037	0.05	NC_017592.1	1	2036867	5121395	1635203	80.2803	333.044	35.5	56.7"
"CS00037	0.075	NC_017592.1	1	2036867	7684374	1717795	84.3352	499.729	35.5	56.7"
"CS00037	0.125	NC_017592.1	1	2036867	12800505	1811165	88.9192	832.393	35.5	56.7"
"CS00037	0.1	NC_017592.1	1	2036867	10243821	1771938	86.9933	666.159	35.5	56.7"
"CS00037	0.25	NC_017592.1	1	2036867	25599846	1906555	93.6023	1664.64	35.5	56.7"
"CS00037	0.5	NC_017592.1	1	2036867	51186414	1968290	96.6332	3328.3	35.5	56.7"
"CS00037	1.0	NC_017592.1	1	2036867	102375453	2005081	98.4395	6657.05	35.5	56.7"
"CS00038	0.025	NC_017592.1	1	2036867	857789	1595908	78.3511	52.7697	35.7	43"
"CS00038	0.05	NC_017592.1	1	2036867	1715121	1784650	87.6174	105.496	35.7	43"
"CS00038	0.075	NC_017592.1	1	2036867	2570058	1860159	91.3245	158.081	35.7	43"
"CS00038	0.125	NC_017592.1	1	2036867	4282232	1927726	94.6417	263.415	35.7	43"
"CS00038	0.1	NC_017592.1	1	2036867	3424908	1901572	93.3577	210.679	35.7	43"
"CS00038	0.25	NC_017592.1	1	2036867	8572471	1982382	97.3251	527.361	35.7	43"
"CS00038	0.5	NC_017592.1	1	2036867	17147096	2005116	98.4412	1054.63	35.7	43"
"CS00038	1.0	NC_017592.1	1	2036867	34301444	2016945	99.0219	2109.72	35.7	43"
"CS00039	0.025	NC_017592.1	1	2036867	1547788	1302549	63.9487	101.363	35.6	56.4"
"CS00039	0.05	NC_017592.1	1	2036867	3095855	1480066	72.6639	202.755	35.6	56.4"
"CS00039	0.075	NC_017592.1	1	2036867	4641407	1564765	76.8221	304.018	35.6	56.4"
"CS00039	0.125	NC_017592.1	1	2036867	7734965	1664578	81.7225	506.647	35.6	56.4"
"CS00039	0.1	NC_017592.1	1	2036867	6188963	1623874	79.7241	405.347	35.6	56.4"
"CS00039	0.25	NC_017592.1	1	2036867	15476685	1778863	87.3333	1013.64	35.6	56.4"
"CS00039	0.5	NC_017592.1	1	2036867	30966982	1858691	91.2524	2028.35	35.6	56.4"
"CS00039	1.0	NC_017592.1	1	2036867	61936821	1905765	93.5635	4056.88	35.6	56.4"
"CS00040	0.025	NC_017592.1	1	2036867	1129994	1631209	80.0842	69.3372	35.6	43.1"
"CS00040	0.05	NC_017592.1	1	2036867	2260148	1749836	85.9082	138.704	35.6	43.1"
"CS00040	0.075	NC_017592.1	1	2036867	3392342	1801677	88.4533	208.201	35.6	43.1"
"CS00040	0.125	NC_017592.1	1	2036867	5653855	1847105	90.6836	346.922	35.6	43.1"
"CS00040	0.1	NC_017592.1	1	2036867	4520105	1829462	89.8175	277.38	35.6	43.1"
"CS00040	0.25	NC_017592.1	1	2036867	11312426	1882204	92.4068	694.135	35.6	43.1"
