sample	subsample	rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
SP00058	0.075	NC_017592.1	1	2036867	3580040	1936689	95.0818	254.785	34.8	57.5
SP00058	0.125	NC_017592.1	1	2036867	5969258	1937363	95.1149	424.82	34.8	57.5
SP00058	0.1	NC_017592.1	1	2036867	4773320	1937160	95.1049	339.714	34.8	57.5
SP00058	0.25	NC_017592.1	1	2036867	11938204	1937700	95.1314	849.575	34.8	57.5
SP00058	0.5	NC_017592.1	1	2036867	23872408	1938097	95.1509	1698.86	34.8	57.5
SP00058	1.0	NC_017592.1	1	2036867	47757331	1938444	95.1679	3398.52	34.8	57.5
SP00059	0.025	NC_017592.1	1	2036867	2376291	1940330	95.2605	164.87	35.2	56
SP00059	0.05	NC_017592.1	1	2036867	4750552	1945717	95.525	329.623	35.2	56
SP00059	0.075	NC_017592.1	1	2036867	7124664	1947762	95.6254	494.351	35.2	56
SP00059	0.125	NC_017592.1	1	2036867	11874366	1949821	95.7265	823.858	35.2	56
SP00059	0.1	NC_017592.1	1	2036867	9499913	1948921	95.6823	659.139	35.2	55.9
SP00059	0.25	NC_017592.1	1	2036867	23743826	1950683	95.7688	1647.36	35.2	56
SP00059	0.5	NC_017592.1	1	2036867	47502505	1951421	95.805	3295.86	35.2	56
SP00059	1.0	NC_017592.1	1	2036867	94998790	1951779	95.8226	6591.45	35.2	56
SP00060	0.025	NC_017592.1	1	2036867	10	303	0.0148758	0.000294079	36.7	52
SP00060	0.05	NC_017592.1	1	2036867	14	504	0.0247439	0.000461493	36.8	53.6
SP00060	0.075	NC_017592.1	1	2036867	22	596	0.0292606	0.000634307	36.2	46.8
SP00060	0.125	NC_017592.1	1	2036867	48	855	0.0419762	0.00129905	36	52.1
SP00060	0.1	NC_017592.1	1	2036867	38	788	0.0386869	0.00115766	36	51.6
SP00060	0.25	NC_017592.1	1	2036867	104	1982	0.0973063	0.00310084	36	52.5
SP00060	0.5	NC_017592.1	1	2036867	212	2693	0.132213	0.00704317	35.9	54.1
SP00060	1.0	NC_017592.1	1	2036867	492	4500	0.220928	0.0170566	36	52.7
